Model,Accuracy,Precision,Recall,F1-Score
Random Forest (Tuned),0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
Gradient Boosting (Tuned),0.956140350877193,0.9583333333333334,0.971830985915493,0.965034965034965
