Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.956140350877193,0.9459459459459459,0.9859154929577465,0.9655172413793104
Decision Tree,0.9298245614035088,0.9436619718309859,0.9436619718309859,0.9436619718309859
Random Forest,0.9649122807017544,0.958904109589041,0.9859154929577465,0.9722222222222222
SVM,0.9473684210526315,0.922077922077922,1.0,0.9594594594594594
KNN,0.956140350877193,0.9342105263157895,1.0,0.9659863945578231
Gradient Boosting,0.956140350877193,0.9583333333333334,0.971830985915493,0.965034965034965
